Name,Date,Payment
Muhammed MacIntyre,13.10.2010,262
Barry French,01.10.2012,10123
Barry French,01.10.2012,245
Clay Rozendal,10.07.2011,4966
Carlos Soltero,28.08.2010,394
Carlos Soltero,28.08.2010,147
Carl Jackson,17.06.2011,94
Carl Jackson,17.06.2011,905
Monica Federle,24.03.2011,2782
Dorothy Badders,26.02.2010,228
Neola Schneider,23.11.2010,197
Neola Schneider,23.11.2010,125
Carlos Daly,08.06.2012,717
Carlos Daly,08.06.2012,1474
Claudia Miner,04.08.2012,81
Neola Schneider,30.05.2011,1815
Allen Rosenblatt,25.11.2009,248
Sylvia Foulston,14.02.2012,4462
Sylvia Foulston,14.02.2012,664
Jim Radford,15.04.2012,835
Jim Radford,15.04.2012,2481
Carlos Soltero,12.03.2010,59
Carlos Soltero,12.03.2010,97
Carl Ludwig,09.03.2011,512
Carl Ludwig,09.03.2011,185
Don Miller,04.08.2012,81
Annie Cyprus,06.05.2011,67
Carl Ludwig,23.12.2010,12028
Carlos Soltero,08.11.2010,370
Grant Carroll,21.10.2012,278
Don Miller,01.01.2011,67
Don Miller,01.01.2011,845
Alan Barnes,10.10.2011,282
Alan Barnes,10.10.2011,426
Jack Garza,23.09.2010,1078
Julia West,19.07.2011,3554
Eugene Barchas,09.10.2009,192
Eugene Barchas,09.10.2009,5586
Eugene Barchas,09.10.2009,508
Edward Hooks,09.12.2010,14224
Brad Eason,08.10.2012,43
Nicole Hansen,02.05.2012,427
Dorothy Wardle,08.03.2010,820
Aaron Bergman,28.05.2011,15
Jim Radford,19.09.2010,90
Annie Cyprus,31.08.2011,1210
Annie Cyprus,31.08.2011,188
Annie Cyprus,31.08.2011,50
Annie Cyprus,31.08.2011,4253
Annie Cyprus,08.07.2011,59
Clay Rozendal,30.01.2009,1285
Don Jones,08.01.2012,49
Beth Thompson,07.11.2010,130
Frank Price,29.04.2010,119
Michelle Lonsdale,31.12.2011,62
Ann Chong,12.08.2009,384
Ann Chong,12.08.2009,239
Joy Bell,12.11.2011,3922
Joy Bell,12.11.2011,1733
Skye Norling,20.01.2012,208
Barry Weirich,20.03.2009,9621
Grant Carroll,21.07.2012,255
Grant Carroll,21.07.2012,130
Adrian Hane,12.06.2012,312
Skye Norling,15.01.2009,217
Skye Norling,15.01.2009,296
Andrew Gjertsen,04.06.2010,436
Ralph Knight,18.02.2010,136
Dorothy Wardle,16.11.2011,1311
Dorothy Wardle,16.11.2011,544
Dorothy Wardle,16.11.2011,844
Grant Carroll,07.08.2011,6396
Barry Weirich,08.06.2010,752
Beth Paige,17.10.2009,1003
Sylvia Foulston,28.08.2011,1267
Nicole Hansen,29.09.2011,368
Nicole Hansen,29.09.2011,153
Nicole Hansen,04.05.2012,3339
Beth Paige,17.05.2011,24
Beth Paige,17.05.2011,271
Beth Paige,17.05.2011,3390
Beth Paige,17.05.2011,266
Beth Paige,17.05.2011,89
Sylvia Foulston,17.11.2009,2800
Bryan Davis,10.10.2011,2040
Joy Bell,07.10.2012,12176
Joy Bell,07.10.2012,101
Joy Bell,07.10.2012,1586
Alan Barnes,13.08.2011,176
Grant Carroll,16.08.2011,4655
Grant Carroll,16.08.2011,10088
Grant Carroll,16.08.2011,1608
Delfina Latchford,04.03.2009,12
Don Jones,18.08.2009,821
Doug Bickford,16.11.2010,6251
Doug Bickford,27.05.2011,855
Doug Bickford,27.05.2011,80
Jamie Kunitz,23.08.2010,309
Anthony Johnson,19.08.2011,401
Ralph Knight,03.01.2012,1170
Allen Rosenblatt,29.11.2012,5189
Barry Weirich,17.03.2012,340
Doug Bickford,12.04.2010,1520
Carl Jackson,24.08.2010,102
Brendan Dodson,04.07.2011,966
Edward Hooks,10.11.2010,398
Jamie Kunitz,24.06.2010,73
Jamie Kunitz,24.06.2010,4679
Michelle Lonsdale,19.09.2012,8010
Michelle Lonsdale,19.09.2012,4690
Brendan Dodson,24.12.2011,3019
Hunter Glantz,23.03.2012,37
Sylvia Foulston,15.10.2011,22079
Eugene Barchas,07.08.2010,5407
Jim Radford,03.03.2009,74
Carlos Soltero,09.02.2010,21507
Carlos Soltero,09.02.2010,669
Carlos Soltero,17.01.2009,1143
Carlos Soltero,17.01.2009,78
Jim Radford,30.08.2010,5297
Jim Radford,30.08.2010,95
Grant Carroll,11.09.2009,461
Grant Carroll,11.09.2009,319
Skye Norling,16.07.2009,1021
Doug Bickford,15.11.2012,268
Grant Carroll,10.09.2011,209
Muhammed MacIntyre,10.04.2011,501
Muhammed MacIntyre,10.04.2011,275
Muhammed MacIntyre,10.04.2011,1303
Doug Bickford,09.10.2011,40
Doug Bickford,09.10.2011,1414
